node,name,rw_betweenness
720575940638013759,CRE.FB.30,0.004079
720575940633744747,FB.467,0.004078
720575940640589683,FB.446,0.004073
720575940630822175,FB.291,0.004072
720575940630057258,FB.269,0.004041
720575940610908057,FB.349,0.004034
720575940614442090,FB.338,0.004015
720575940621825518,FB.501,0.004014
720575940617077533,FB.517,0.004011
720575940644870167,FB.383,0.004006
720575940644178468,FB.175,0.003999
720575940623781268,FB.414,0.003997
720575940621025037,FB.551,0.003996
720575940633982303,FB.621,0.003994
720575940616967508,FB.447,0.003989
720575940639184361,FB.421,0.003988
720575940635992718,FB.400,0.003978
720575940612211496,FB.425,0.003962
720575940619673664,FB.343,0.00396
720575940643323592,FB.247,0.003945
720575940611091780,FB.417,0.003938
720575940621782381,FB.235,0.003899
720575940624073452,FB.172,0.003891
720575940613711614,FB.758,0.003876
720575940635467150,FB.LAL.12,0.003872
720575940644706083,FB.LAL.2,0.003872
720575940624437735,FB.179,0.003871
720575940624307658,SMP.FB.8,0.00387
720575940614736559,SMP.FB.18,0.003865
720575940624077517,FB.184,0.003849
720575940630199759,FB.355,0.003845
720575940626798480,FB.388,0.003837
720575940619906219,FB.809,0.003818
720575940604481760,FB.205,0.003807
720575940621347583,FB.415,0.003803
720575940628206391,FB.515,0.003794
720575940620203340,FB.259,0.003782
720575940611963346,FB.237,0.00375
720575940641306765,FB.595,0.003747
720575940619489857,FB.642,0.003747
720575940621050228,FB.210,0.003746
720575940628789626,FB.435,0.003741
720575940612821997,FB.424,0.003739
720575940628219479,FB.292,0.003724
720575940624383892,FB.171,0.003718
720575940623904551,FB.320,0.003716
720575940628621563,FB.341,0.003712
720575940627730206,FB.488,0.003711
720575940643177495,FB.248,0.003704
720575940633936279,FB.512,0.003704
720575940615764061,FB.444,0.0037
720575940618694638,FB.361,0.003699
720575940637983814,FB.567,0.003694
720575940621832942,FB.170,0.003692
720575940629750138,LAL.FB.1,0.003691
720575940617155742,FB.569,0.003658
720575940633797677,FB.461,0.003653
720575940636841840,FB.227,0.003643
720575940612972693,FB.500,0.003633
720575940631958829,FB.280,0.003632
720575940612760994,SMP.FB.20,0.003622
720575940619578608,FB.598,0.003618
720575940623280457,FB.604,0.003613
720575940618407333,FB.591,0.003613
720575940612627058,FB.564,0.003611
720575940608839800,FB.664,0.003605
720575940619707728,FB.181,0.003605
720575940612615917,FB.315,0.003601
720575940620276400,FB.254,0.003599
720575940616005009,FB.380,0.003597
720575940621811182,FB.186,0.003592
720575940618129355,FB.542,0.003592
720575940631477677,FB.418,0.003588
720575940607862217,FB.518,0.003585
720575940606734182,FB.218,0.003582
720575940623536398,FB.277,0.003576
720575940630748876,FB.230,0.003564
720575940632097965,FB.290,0.003562
720575940621490968,FB.359,0.003561
720575940619866759,FB.211,0.00355
720575940625308162,FB.LAL.7,0.003549
720575940626138008,FB.294,0.003546
720575940622132872,FB.207,0.003537
720575940614515398,FB.495,0.003532
720575940617978526,FB.308,0.003523
720575940610634725,FB.675,0.003517
720575940608207317,FB.231,0.003516
720575940627965187,FB.311,0.003512
720575940626666345,FB.412,0.003507
720575940608179268,FB.678,0.003489
720575940624892858,FB.306,0.003477
720575940626316606,FB.194,0.003471
720575940616657989,FB.543,0.003466
720575940627194267,FB.304,0.003457
720575940644188439,FB.427,0.003454
720575940623759591,FB.295,0.003439
720575940622422711,FB.296,0.003436
720575940618295376,FB.169,0.003436
720575940633676479,FB.513,0.003431
720575940632720279,FB.325,0.003425
720575940632718944,FB.667,0.003423
720575940619673222,FB.416,0.003409
720575940620417797,FB.336,0.003407
720575940624611018,FB.395,0.003395
720575940622599679,FB.346,0.003394
720575940634407520,FB.200,0.003391
720575940617433627,SMP.FB.4,0.003377
720575940617047297,SMP.FB.12,0.003371
720575940613326250,FB.442,0.003363
720575940608548619,FB.339,0.00336
720575940619140262,FB.528,0.003358
720575940613429314,FB.943,0.00334
720575940625667721,SMP.FB.19,0.003335
720575940620571953,EB.6,0.003335
720575940625968792,FB.463,0.003326
720575940620941003,FB.398,0.003325
720575940619845547,EB.FB.5,0.003315
720575940625678650,FB.469,0.003314
720575940629331663,FB.514,0.003314
720575940602747360,FB.382,0.003295
720575940628382203,FB.369,0.003295
720575940625932275,FB.MB_ML.11,0.003294
720575940637224937,FB.366,0.003292
720575940636381673,SMP.FB.11,0.003289
720575940612920466,EB.163,0.003288
720575940617600064,FB.562,0.003276
720575940630814762,FB.402,0.003276
720575940624102670,FB.217,0.003268
720575940603197408,FB.350,0.003265
720575940630148655,FB.462,0.003262
