Source,Target,Type,Weight
720575940619141254,720575940639598963,Directed,9
720575940619141254,720575940639978704,Directed,9
720575940619141254,720575940640039040,Directed,10
720575940619141254,720575940640228661,Directed,15
720575940619141254,720575940641173376,Directed,48
720575940619141254,720575940641239181,Directed,32
720575940619141254,720575940641567885,Directed,50
720575940619141254,720575940641591248,Directed,11
720575940619141254,720575940643745480,Directed,8
720575940619141254,720575940645448756,Directed,6
720575940619141254,720575940646126644,Directed,5
720575940623466632,720575940603964774,Directed,1
720575940623466632,720575940604842924,Directed,3
720575940623466632,720575940606102729,Directed,1
720575940623466632,720575940616502175,Directed,1
720575940623466632,720575940620020694,Directed,4
720575940623466632,720575940622342576,Directed,1
720575940623466632,720575940623698324,Directed,1
720575940623466632,720575940628493572,Directed,1
720575940623466632,720575940629213639,Directed,2
720575940623466632,720575940629733114,Directed,1
720575940623466632,720575940630904121,Directed,1
720575940623466632,720575940631487047,Directed,1
720575940623466632,720575940642877088,Directed,1
720575940623466632,720575940652702710,Directed,1
720575940605591730,720575940613762207,Directed,5
720575940605591730,720575940621768385,Directed,4
720575940605591730,720575940622406260,Directed,5
720575940605591730,720575940623199070,Directed,2
720575940605591730,720575940627159498,Directed,3
720575940604969161,720575940615101747,Directed,12
720575940604969161,720575940616205083,Directed,42
720575940604969161,720575940624783287,Directed,102
720575940604969161,720575940639278399,Directed,11
720575940604969161,720575940640749939,Directed,7
720575940621172941,720575940639278399,Directed,12
720575940621172941,720575940639961653,Directed,6
720575940607246549,720575940627264062,Directed,1
720575940631625953,720575940606483657,Directed,6
720575940631625953,720575940607938517,Directed,7
720575940631625953,720575940610636773,Directed,5
720575940631625953,720575940611904997,Directed,11
720575940631625953,720575940612234467,Directed,5
720575940631625953,720575940616657989,Directed,5
720575940631625953,720575940618590923,Directed,8
720575940631625953,720575940619668206,Directed,16
720575940631625953,720575940620346795,Directed,17
720575940631625953,720575940621846783,Directed,11
720575940631625953,720575940623861479,Directed,12
720575940631625953,720575940624306494,Directed,8
720575940631625953,720575940625649214,Directed,16
720575940631625953,720575940625905295,Directed,7
720575940631625953,720575940629343196,Directed,5
720575940631625953,720575940630463007,Directed,5
720575940631625953,720575940633135455,Directed,8
720575940631625953,720575940634081272,Directed,5
720575940631625953,720575940637824189,Directed,5
720575940631625953,720575940646135940,Directed,5
720575940639473909,720575940603932448,Directed,70
720575940639473909,720575940604110513,Directed,81
720575940639473909,720575940608140380,Directed,6
720575940639473909,720575940608413705,Directed,6
720575940639473909,720575940610894450,Directed,27
720575940639473909,720575940612152930,Directed,10
720575940639473909,720575940612211496,Directed,29
720575940639473909,720575940612734066,Directed,2
720575940639473909,720575940612972693,Directed,5
720575940639473909,720575940613490841,Directed,83
720575940639473909,720575940614799154,Directed,18
720575940639473909,720575940615833055,Directed,2
720575940639473909,720575940616728038,Directed,146
720575940639473909,720575940618844757,Directed,60
720575940639473909,720575940619104027,Directed,6
720575940639473909,720575940619141254,Directed,81
720575940639473909,720575940620028513,Directed,11
720575940639473909,720575940623358099,Directed,5
720575940639473909,720575940623904551,Directed,8
720575940639473909,720575940625968792,Directed,23
720575940639473909,720575940626812777,Directed,15
720575940639473909,720575940627935610,Directed,14
720575940639473909,720575940628003739,Directed,5
720575940639473909,720575940629112579,Directed,3
720575940639473909,720575940629712727,Directed,3
720575940639473909,720575940630007916,Directed,13
720575940639473909,720575940630520314,Directed,20
720575940639473909,720575940631991507,Directed,111
720575940639473909,720575940632825913,Directed,1
720575940639473909,720575940632891106,Directed,9
720575940639473909,720575940633744747,Directed,8
720575940639473909,720575940634313071,Directed,5
720575940639473909,720575940634701025,Directed,20
720575940639473909,720575940634788600,Directed,8
720575940639473909,720575940634843247,Directed,2
720575940639473909,720575940635319663,Directed,6
720575940639473909,720575940638027497,Directed,17
720575940639473909,720575940639410291,Directed,9
720575940639473909,720575940639861301,Directed,7
720575940639473909,720575940640039040,Directed,5
720575940623450382,720575940604868286,Directed,12
720575940623450382,720575940612627058,Directed,11
720575940623450382,720575940616617940,Directed,25
720575940623450382,720575940617077533,Directed,32
720575940623450382,720575940618174447,Directed,6
720575940623450382,720575940618388615,Directed,5
720575940623450382,720575940619489857,Directed,8
720575940623450382,720575940619578608,Directed,5
720575940623450382,720575940619584421,Directed,5
720575940623450382,720575940620012020,Directed,30
720575940623450382,720575940621019674,Directed,23
720575940623450382,720575940621025037,Directed,7
720575940623450382,720575940621139482,Directed,12
720575940623450382,720575940621193864,Directed,9
720575940623450382,720575940623004711,Directed,24
720575940623450382,720575940623217132,Directed,6
720575940623450382,720575940623242168,Directed,6
720575940623450382,720575940623880013,Directed,5
720575940623450382,720575940624136489,Directed,35
720575940623450382,720575940624381966,Directed,6
720575940623450382,720575940625392650,Directed,24
720575940623450382,720575940625750415,Directed,6
720575940623450382,720575940625850938,Directed,23
720575940623450382,720575940625962152,Directed,22
720575940623450382,720575940626343305,Directed,10
720575940623450382,720575940626356648,Directed,6
720575940623450382,720575940626849301,Directed,9
720575940623450382,720575940627569658,Directed,8
720575940623450382,720575940627675121,Directed,15
720575940623450382,720575940627777527,Directed,7
720575940623450382,720575940627782014,Directed,18
720575940623450382,720575940627901687,Directed,6
720575940623450382,720575940628029378,Directed,11
720575940623450382,720575940628168458,Directed,7
720575940623450382,720575940629506012,Directed,34
720575940623450382,720575940630019385,Directed,5
720575940623450382,720575940630773585,Directed,11
720575940623450382,720575940631619384,Directed,12
720575940623450382,720575940633676479,Directed,11
720575940623450382,720575940633936279,Directed,5
720575940623450382,720575940633982303,Directed,6
720575940623450382,720575940634419051,Directed,15
720575940623450382,720575940635969758,Directed,16
720575940623450382,720575940637303415,Directed,14
720575940623450382,720575940637983814,Directed,8
720575940623450382,720575940640008400,Directed,16
720575940623450382,720575940640589683,Directed,27
720575940623450382,720575940653612790,Directed,5
720575940611211542,720575940607862217,Directed,6
720575940611211542,720575940613052200,Directed,14
720575940611211542,720575940613132178,Directed,6
720575940611211542,720575940616040148,Directed,5
720575940611211542,720575940618688276,Directed,6
720575940611211542,720575940620203340,Directed,5
720575940611211542,720575940620327412,Directed,16
720575940611211542,720575940623084471,Directed,6
720575940611211542,720575940623242168,Directed,10
720575940611211542,720575940624381966,Directed,11
720575940611211542,720575940624892858,Directed,5
720575940611211542,720575940626612254,Directed,6
720575940611211542,720575940627723338,Directed,9
720575940611211542,720575940627768698,Directed,13
720575940611211542,720575940630671953,Directed,9
720575940611211542,720575940630840493,Directed,15
720575940611211542,720575940633013412,Directed,19
720575940611211542,720575940636588724,Directed,25
720575940611211542,720575940637729370,Directed,14
720575940611211542,720575940638709632,Directed,9
720575940611211542,720575940651565558,Directed,5
720575940624417052,720575940605384882,Directed,7
720575940624417052,720575940606723081,Directed,18
720575940624417052,720575940609427246,Directed,9
720575940624417052,720575940611725738,Directed,29
720575940624417052,720575940612821997,Directed,6
720575940624417052,720575940614013382,Directed,9
720575940624417052,720575940614026449,Directed,6
720575940624417052,720575940614966214,Directed,7
720575940624417052,720575940616545793,Directed,12
720575940624417052,720575940617921877,Directed,5
720575940624417052,720575940619578352,Directed,16
720575940624417052,720575940620919646,Directed,10
720575940624417052,720575940621393573,Directed,6
720575940624417052,720575940621782381,Directed,11
720575940624417052,720575940624276410,Directed,13
720575940624417052,720575940625142936,Directed,7
720575940624417052,720575940625875402,Directed,7
720575940624417052,720575940626682384,Directed,8
720575940624417052,720575940628705271,Directed,7
