Id,Label,cell_class,name,nt_type,primary_type,side,super_class
720575940643915300,EB.122,CX,EB.122,GABA,ER4d,right,central
720575940620584497,FB.952,CX,FB.952,GLUT,FB2K,right,central
720575940631004728,FB.506,CX,FB.506,SER,FC2B,right,central
720575940631086649,FB.637,CX,FB.637,GLUT,FB7G,right,central
720575940626859599,FB.1242,CX,FB.1242,ACH,vDeltaK,right,central
720575940628219479,FB.292,CX,FB.292,ACH,hDeltaC,right,central
720575940630398551,FB.1021,CX,FB.1021,SER,vDeltaA_b,left,central
720575940608312924,FB.457,CX,FB.457,unknown,FB4L,right,central
720575940629907052,FB.1334,CX,FB.1334,GLUT,FB4Q_b,left,central
720575940638901875,FB.LAL.29,CX,FB.LAL.29,ACH,PFL3,right,central
720575940620142196,NO.93,CX,NO.93,ACH,PFNm,right,central
720575940629497462,NO.58,CX,NO.58,ACH,PFNm,right,central
720575940609214072,FB.818,CX,FB.818,ACH,vDeltaD,right,central
720575940609558136,FB.677,CX,FB.677,SER,FB2M,left,central
720575940620027515,EB.5,CX,EB.5,GLUT,ExR6,left,central
720575940660921985,EB.41,CX,EB.41,ACH,EPG,right,central
720575940621731475,FB.627,CX,FB.627,ACH,FC3,right,central
720575940611475097,FB.1211,CX,FB.1211,unknown,vDeltaA_b,right,central
720575940654122657,FB.1215,CX,FB.1215,ACH,vDeltaM,left,central
720575940612851367,FB.309,CX,FB.309,ACH,hDeltaC,right,central
720575940621076144,FB.MB_ML.17,CX,FB.MB_ML.17,ACH,PFGs,left,central
720575940605380274,FB.1185,CX,FB.1185,ACH,vDeltaA_a,right,central
720575940603807422,FB.1141,CX,FB.1141,unknown,vDeltaB,right,central
720575940614735558,NO.231,CX,NO.231,unknown,PFNp,left,central
720575940623861479,FB.167,CX,FB.167,GLUT,FB1I,left,central
720575940611376882,FB.1014,CX,FB.1014,ACH,vDeltaK,left,central
720575940650338038,FB.797,CX,FB.797,ACH,vDeltaD,right,central
720575940629202681,FB.1023,CX,FB.1023,ACH,vDeltaI_b,left,central
720575940625925892,FB.1243,CX,FB.1243,ACH,vDeltaL,left,central
720575940626646790,FB.1027,CX,FB.1027,ACH,FC1D,left,central
720575940625925898,FB.CRE.66,CX,FB.CRE.66,ACH,FS2,right,central
720575940623222542,FB.640,CX,FB.640,ACH,hDeltaJ,right,central
720575940626827024,EB.290,CX,EB.290,GABA,ER3d,right,central
720575940625630993,FB.1132,CX,FB.1132,GLUT,FB9C,right,central
720575940627826448,FB.1241,CX,FB.1241,ACH,vDeltaM,left,central
720575940643702551,NO.55,CX,NO.55,ACH,PFNv,right,central
720575940622681889,AVLP.ME.4,unknown,AVLP.ME.4,ACH,cM11,left,visual_centrifugal
720575940612310824,NO.FB.137,CX,NO.FB.137,unknown,PFNp,left,central
720575940609427246,FB.34,CX,FB.34,GLUT,FB2D,left,central
720575940624222014,FB.670,CX,FB.670,SER,hDeltaK,left,central
720575940618733377,AOTU.FB.11,TuBu,AOTU.FB.11,ACH,TuBu03,right,central
720575940627433288,LAL.FB.6,CX,LAL.FB.6,GLUT,FB5V,right,central
720575940618995541,FB.481,CX,FB.481,GLUT,FB4Z,left,central
720575940619503445,NO.14,CX,NO.14,ACH,PFNa,right,central
720575940624861017,FB.1039,CX,FB.1039,ACH,FC1C,left,central
720575940637558618,FB.399,CX,FB.399,ACH,FC2B,left,central
720575940640589683,FB.446,CX,FB.446,GLUT,FB8C,right,central
720575940621764490,NO.FB.36,CX,NO.FB.36,ACH,PFNd,left,central
720575940613441442,NO.24,CX,NO.24,ACH,PFNa,right,central
720575940631398308,FB.340,CX,FB.340,GLUT,FB5X,right,central
